Direction,FoodDirection,DangerLeft,DangerUp,DangerRight,DangerDown,DistanceToFood,Alive,Size
down,none,True,False,False,False,3.0,True,3
right,none,False,False,False,False,2.0,True,3
right,right,False,False,False,False,1.0,True,3
right,none,False,False,False,False,10.0,True,1000
up,none,False,True,False,False,4.0,True,3
left,none,False,True,False,False,3.0,True,3
left,none,False,True,False,False,2.0,True,3
left,left,False,True,False,False,1.0,True,3
left,none,False,True,False,False,55.0,True,500
down,none,True,False,False,False,3.0,True,3
right,none,False,False,False,False,2.0,True,3
right,right,False,False,False,False,1.0,True,3
right,none,False,False,False,False,10.0,True,10000
up,none,False,True,False,False,4.0,True,3
left,none,False,True,False,False,3.0,True,3
left,none,False,True,False,False,2.0,True,3
left,left,False,True,False,False,1.0,True,3
left,none,False,True,False,False,55.0,True,1004
down,none,True,False,False,False,3.0,True,3
right,none,False,False,False,False,2.0,True,3
right,right,False,False,False,False,1.0,True,3
right,none,False,False,False,False,10.0,True,1000
up,none,False,True,False,False,4.0,True,3
left,none,False,True,False,False,3.0,True,3
left,none,False,True,False,False,2.0,True,3
left,left,False,True,False,False,1.0,True,3
left,none,False,True,False,False,55.0,True,500
down,none,True,False,False,False,3.0,True,3
down,none,True,False,False,False,2.0,True,3
down,down,True,False,False,False,1.0,True,3
down,none,True,False,False,False,10.0,True,10000
down,none,True,False,False,False,4.0,True,3
up,none,False,False,False,False,3.0,True,3
up,none,False,False,False,False,2.0,True,3
up,up,False,False,False,False,1.0,True,3
up,none,False,False,False,False,55.0,True,1004
